08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 117.18.232.200.,33086, 443
08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56130, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,53205, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,53205, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 53205

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 53205

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,42986, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,43000, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56144, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.195., 10.0.2.10.,80, 42986

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,42986, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,42986, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.195., 10.0.2.10.,80, 42986

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.195., 10.0.2.10.,80, 43000

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,43000, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,43000, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.195., 10.0.2.10.,80, 43000

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.195., 10.0.2.10.,80, 43000

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.195., 10.0.2.10.,80, 42986

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,43000, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,42986, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56130, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55468

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.206.132.,55486, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,37163, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,37163, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56144, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,42142, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,42142, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.206.132.,55486, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.206.132.,55486, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,ICMP, 10.0.2.2., 10.0.2.10.,

52:54:00:12:35:02:, 08:00:27:32:1e:62:,ICMP, 10.0.2.2., 10.0.2.10.,

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 37163

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 37163

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,37296, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,37296, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 42142

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 42142

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.193.2.,35455, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.2.,46816, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,42089, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,42089, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 37296

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 37296

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.3.,50167, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.3.,53470, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 42089

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 42089

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.206.145.,60857, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.145.,34996, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,54844, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,54844, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.145., 10.0.2.10.,443, 34996

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.3., 10.0.2.10.,443, 53470

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.145.,34996, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.3.,53470, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.3.,53470, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.3., 10.0.2.10.,443, 53470

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.145.,34996, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.145., 10.0.2.10.,443, 34996

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 54844

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 54844

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.2.,46824, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.131.,38871, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.131.,55490, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.131.,55502, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.193.2.,35455, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.193.2.,35455, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.2., 10.0.2.10.,443, 46824

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.2.,46824, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.2.,46824, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.2., 10.0.2.10.,443, 46824

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.145., 10.0.2.10.,443, 34996

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.145.,34996, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.145., 10.0.2.10.,443, 34996

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.145.,34996, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,43000, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.195., 10.0.2.10.,80, 43000

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.3., 10.0.2.10.,443, 53470

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.3.,53470, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.131., 10.0.2.10.,443, 55490

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.3., 10.0.2.10.,443, 53470

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.131.,55490, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.3.,53470, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.131., 10.0.2.10.,443, 55502

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.131.,55502, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.131.,55490, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.2., 10.0.2.10.,443, 46816

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.2.,46816, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.131., 10.0.2.10.,443, 55490

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.2.,46816, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.2., 10.0.2.10.,443, 46816

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.131.,55502, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.131., 10.0.2.10.,443, 55502

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.132., 10.0.2.10.,443, 55484

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.195.,42986, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.195., 10.0.2.10.,80, 42986

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.3.,50167, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.3.,50167, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,ICMP, 10.0.2.2., 10.0.2.10.,

52:54:00:12:35:02:, 08:00:27:32:1e:62:,ICMP, 10.0.2.2., 10.0.2.10.,

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.206.145.,60857, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.206.145.,60857, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,ICMP, 10.0.2.2., 10.0.2.10.,

52:54:00:12:35:02:, 08:00:27:32:1e:62:,ICMP, 10.0.2.2., 10.0.2.10.,

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.206.132.,55486, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.206.132.,55486, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,ICMP, 10.0.2.2., 10.0.2.10.,

52:54:00:12:35:02:, 08:00:27:32:1e:62:,ICMP, 10.0.2.2., 10.0.2.10.,

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.2., 10.0.2.10.,443, 46816

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.2.,46816, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.193.2., 10.0.2.10.,443, 46816

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.193.2.,46816, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.131.,38871, 443

