08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 20.44.10.122.,42284, 443
08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36494, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.251.42.78., 10.0.2.10.,443, 42928

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 32954

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,32954, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,32954, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 32954

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.251.42.78., 10.0.2.10.,443, 42928

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.251.42.78., 10.0.2.10.,443, 42928

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.251.42.78., 10.0.2.10.,443, 42928

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.251.42.78.,42928, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.251.42.78.,42928, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36494

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36494, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36494, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36494, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36494

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36494

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 32954

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,32954, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 32954

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,32954, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,32954, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,32954, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 32954

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 32954

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.251.42.78., 10.0.2.10.,443, 42928

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.251.42.78.,42928, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 32954

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,32954, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 32954

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36494

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36494

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36494, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36494, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36494, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36494

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36494, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36494

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.251.42.78., 10.0.2.10.,443, 42928

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.251.42.78.,42928, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 172.217.27.163., 10.0.2.10.,443, 54154

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.251.42.78., 10.0.2.10.,443, 42928

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.251.42.78.,42928, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.251.42.78.,47448, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.251.42.78., 10.0.2.10.,443, 47448

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,52267, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,52267, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 52267

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 52267

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,54558, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,56921, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,56921, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 142.250.194.132., 10.0.2.10.,443, 58385

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 54558

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,54558, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,54558, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.206.131., 10.0.2.10.,443, 54558

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,48271, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,48271, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 56921

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 56921

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 216.58.196.98.,39629, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 216.58.196.98.,39629, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.250.194.132.,58385, 443

